436.59,446.55,456.51,265.29,277.24,380.82,434.6,NaN,NaN,325.04,NaN,NaN,400.73,374.84,NaN,NaN,384.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195.16,286.8,322.66,203.12,328.63,336.6,370.47,NaN,NaN,386.41,NaN,NaN,129.41,125.43,NaN,NaN,145.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
223.98,244.14,225.99,123.16,80.816,175.58,219.94,NaN,NaN,155.42,NaN,NaN,258.25,242.12,NaN,NaN,262.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
261.58,368.61,415.06,251.48,376.69,423.14,388.81,NaN,NaN,396.89,NaN,NaN,156.56,152.52,NaN,NaN,176.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
258.57,303.66,301.51,129.76,88.963,192.02,271.45,NaN,NaN,166.25,NaN,NaN,249.98,228.51,NaN,NaN,252.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
223.91,333.68,372.42,234.67,387.49,406.86,389.64,NaN,NaN,419.77,NaN,NaN,146.43,148.58,NaN,NaN,165.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
324.78,328.4,351.96,235.98,225.1,266.78,328.4,NaN,NaN,254.1,NaN,NaN,310.28,295.78,NaN,NaN,304.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
189.31,249.12,278.12,189.31,270.88,307.12,290.81,NaN,NaN,296.25,NaN,NaN,138.56,138.56,NaN,NaN,147.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
327.88,331.84,367.47,195.24,175.45,165.55,284.33,NaN,NaN,195.24,NaN,NaN,304.12,290.27,NaN,NaN,298.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
213.31,294.67,322.45,197.44,276.81,338.33,368.09,NaN,NaN,356.19,NaN,NaN,151.8,151.8,NaN,NaN,161.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
290.63,288.69,339.1,160.73,139.41,139.41,257.67,NaN,NaN,172.37,NaN,NaN,261.55,246.04,NaN,NaN,255.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
219.32,291.15,322.21,209.61,296.98,364.93,355.22,NaN,NaN,351.34,NaN,NaN,147.49,147.49,NaN,NaN,159.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
245.42,259.16,318.06,123.69,109.95,106.02,231.67,NaN,NaN,139.4,NaN,NaN,219.89,194.37,NaN,NaN,208.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
215.13,293.73,319.27,219.06,323.2,399.83,378.21,NaN,NaN,378.21,NaN,NaN,148.33,148.33,NaN,NaN,158.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
231.51,243.34,302.49,91.543,85.629,105.34,229.54,NaN,NaN,125.06,NaN,NaN,196.03,168.43,NaN,NaN,184.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206.05,279.04,316.52,223.8,330.32,395.42,361.89,NaN,NaN,373.72,NaN,NaN,140.95,138.98,NaN,NaN,150.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
249.23,255.16,310.47,108.97,99.09,160.33,239.35,NaN,NaN,112.92,NaN,NaN,225.52,201.82,NaN,NaN,211.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
215.35,304.3,343.83,219.3,329.99,389.29,403.12,NaN,NaN,391.27,NaN,NaN,142.22,138.27,NaN,NaN,152.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
240.16,248.38,254.53,147.78,160.09,262.75,246.32,NaN,NaN,149.83,NaN,NaN,252.48,231.95,NaN,NaN,248.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
222.62,321.43,370.84,214.39,317.32,356.43,393.48,NaN,NaN,399.66,NaN,NaN,142.34,142.34,NaN,NaN,156.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
236.76,224.22,266.02,180.34,251.39,349.61,247.21,NaN,NaN,184.52,NaN,NaN,255.57,228.4,NaN,NaN,247.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
221.06,296.3,329.73,221.06,331.82,367.35,388.25,NaN,NaN,394.52,NaN,NaN,145.83,141.65,NaN,NaN,156.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
238.53,258.65,272.74,186.21,288.84,385.42,256.64,NaN,NaN,182.19,NaN,NaN,264.69,242.56,NaN,NaN,260.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
218.78,281.27,353.83,226.84,343.75,380.03,373.98,NaN,NaN,386.08,NaN,NaN,140.17,138.16,NaN,NaN,152.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
